feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
5461	0.9996614541326251	Domain: MGS-like	0.37147843080787896	196	116	0.17215814699638762	0.08127371314632412	0.00033854586737491754
3211	0.9996681409877736	Domain: MGS-like	0.3412548879058819	182	100	0.16662968788012053	0.18092716876416012	0.000331859012226432
4859	0.9996746372390579	Domain: MGS-like	0.36809010867877084	195	116	0.18588279769851637	0.08951064620417098	0.00032536276094208283
2472	0.9996870972298004	Domain: MGS-like	0.34152692673890456	181	93	0.18087074421055452	0.1586276470197082	0.0003129027701995746
12028	0.9996930806191413	Domain: MGS-like	0.34205149799231677	179	101	0.24765735343847625	0.21294114339735196	0.0003069193808586945
15018	0.9996989100843996	Domain: MGS-like	0.34028905544136334	163	79	0.07708137424036662	0.046519287237276476	0.00030108991560040543
9469	0.9997045934855283	Domain: MGS-like	0.3424409052505268	184	100	0.29187801604031544	0.2610055485869257	0.00029540651447168553
8847	0.9997045934855283	Domain: MGS-like	0.32748125519544036	141	79	0.1285286429521222	0.11133248208397217	0.00029540651447168553
15747	0.9997045934855283	Domain: MGS-like	0.3716642552093196	194	117	0.16415533141804728	0.07451289274764772	0.00029540651447168553
11180	0.9997101386824807	Domain: MGS-like	0.3352141916673424	172	102	0.21526600838105922	0.1977625933931521	0.000289861317519291
9846	0.9997101386824807	Domain: MGS-like	0.38364550119962654	212	124	0.26702033385750773	0.16067593595380908	0.000289861317519291
2207	0.9997101386824807	Domain: MGS-like	0.3387627577918236	172	97	0.1530903721192731	0.08340031680908974	0.000289861317519291
10783	0.9997155528802139	Domain: MGS-like	0.35073690324619666	177	98	0.07837586948881192	0.03192214573418131	0.00028444711978614645
7606	0.9997155528802139	Domain: MGS-like	0.34120047011195986	160	88	0.13536680484919364	0.10681967839190565	0.00028444711978614645
12343	0.9997155528802139	Domain: MGS-like	0.3325775361069894	153	76	0.16721650595122645	0.13003225881762118	0.00028444711978614645
15545	0.9997155528802139	Domain: MGS-like	0.34228814125640017	177	101	0.2823215667054657	0.2730103704005135	0.00028444711978614645
10415	0.9997155528802139	Domain: MGS-like	0.3565373806831521	193	113	0.1806246012853259	0.08651987254091462	0.00028444711978614645
2637	0.9997155528802139	Domain: MGS-like	0.37340652276235653	200	113	0.19555598989268835	0.08380580889437692	0.00028444711978614645
10908	0.9997155528802139	Domain: MGS-like	0.32694327191993355	147	71	0.19314358579335966	0.1526943736240014	0.00028444711978614645
11235	0.9997208400087042	Domain: MGS-like	0.35096058794048995	187	108	0.2036295456907283	0.09945310905775248	0.0002791599912957965
12609	0.9997208400087042	Domain: MGS-like	0.3330340765363904	172	98	0.2775183877347715	0.3630664027484943	0.0002791599912957965
10128	0.999726007272909	Domain: MGS-like	0.35756225203164527	193	111	0.21230941272004283	0.09877330155536201	0.0002739927270910547
3956	0.999726007272909	Domain: MGS-like	0.3382787087013246	174	100	0.19550367150012443	0.16874923694492686	0.0002739927270910547
9814	0.999726007272909	Domain: MGS-like	0.3612339473151985	195	120	0.2037370384540929	0.09162540501464693	0.0002739927270910547
1422	0.9997310599127969	Domain: MGS-like	0.31531045903501786	159	90	0.31854581055913467	0.38971959568155234	0.0002689400872031289
5493	0.9997310599127969	Domain: MGS-like	0.3381605754752928	154	82	0.2144279475546487	0.12448777812741868	0.0002689400872031289
15402	0.9997360025133405	Domain: MGS-like	0.3361084311819473	179	98	0.4086538620201301	0.4999883373674977	0.0002639974866595063
14069	0.9997360025133405	Domain: MGS-like	0.369518464439578	198	117	0.31423600504509275	0.2502491100272851	0.0002639974866595063
