feature_id	best_auprc	best_annot	best_or	mean_auprc_all	n_annots_above_03	n_annots_above_05	mystery_score
3920	0.9981366676760836	Domain: SMP-LTD	73.46213331950915	0.2335128278394395	174	76	0.0018633323239164445
1715	0.9981423427222619	Region: Interaction with TCF3	138.02608695652174	0.35030277614667565	264	168	0.0018576572777381228
1150	0.9981535141977034	Domain: DegV	197.6762857399682	0.3369213989520713	260	153	0.0018464858022966268
7489	0.9982002892362535	Region: Interaction with TCF3	82.88549259346344	0.34881663429862325	265	159	0.0017997107637465204
4686	0.9982294730948222	Domain: CN hydrolase	123.65877957658779	0.32237683795937216	246	146	0.0017705269051777606
572	0.9982363798014827	Region: Interaction with TCF3	1199.6702502165435	0.27861637294062247	223	102	0.0017636201985172795
6162	0.9982656581774705	Domain: CN hydrolase	225.0379644588045	0.324414572711061	254	147	0.001734341822529517
1316	0.9982891705805524	Region: Interaction with TCF3	196.30642305459	0.2843344621533057	232	114	0.001710829419447557
6285	0.9983361422984968	Domain: CN hydrolase	119.31685849695329	0.3399036025631818	261	158	0.0016638577015032352
6664	0.9983626356625086	Region: Interaction with TCF3	542.858099536327	0.32397688106738126	255	142	0.0016373643374913982
7406	0.9983650110367024	Region: Interaction with TCF3	152.078105655211	0.3546917011771741	271	168	0.0016349889632976122
5121	0.9984062532501368	Domain: CN hydrolase	89.37360472751149	0.3477239335815238	269	160	0.001593746749863234
8142	0.9984404650839123	Domain: CN hydrolase	220.05970236853088	0.32686028392436184	257	149	0.0015595349160877348
1402	0.9984408597625285	Domain: CN hydrolase	148.26840327927684	0.31998151439706873	258	138	0.0015591402374715013
5229	0.9984457940388581	Region: Interaction with TCF3	422.76716204044266	0.36138201722354063	270	178	0.0015542059611418635
411	0.9984718271883093	Domain: SMP-LTD	88.8777244181751	0.3485677311657867	278	161	0.001528172811690709
3656	0.9984751801110197	Domain: CN hydrolase	91.41390868560643	0.29719424256977967	236	119	0.0015248198889803444
2554	0.9984875624203453	Domain: DegV	118.54228486646885	0.3282325988706026	255	152	0.0015124375796546907
6042	0.9985077340596851	Region: Interaction with TCF3	72.70300333704115	0.2999294569749318	242	127	0.0014922659403149297
3952	0.9985093216134244	Domain: CN hydrolase	27.538366793940142	0.3230839576021274	256	149	0.0014906783865755724
257	0.9985678470908402	Region: Interaction with TCF3	257.04332933721525	0.33157696821848215	252	151	0.0014321529091597673
524	0.9985767093959507	Domain: CN hydrolase	298.08654010603726	0.32813834746842635	258	150	0.001423290604049332
5115	0.9985989668947998	Region: Interaction with TCF3	336.3167044595616	0.3291452254013087	257	149	0.0014010331052002334
7453	0.9986047187198683	Region: Interaction with TCF3	258.81586021505376	0.3170343070676951	248	136	0.001395281280131666
4075	0.9986055318384586	Region: Interaction with TCF3	122.01057137483544	0.3153735595413407	250	139	0.001394468161541429
1382	0.99862088988483	Region: Interaction with TCF3	77.08672355626116	0.3161392396238582	240	140	0.0013791101151700014
1246	0.9986496679033289	Region: Interaction with TCF3	50.454356625479335	0.3169231004067588	258	138	0.0013503320966711252
3062	0.9986566189563821	Region: Interaction with TCF3	118.00230326295585	0.32679930253125095	244	149	0.001343381043617864
780	0.9986761972331291	Domain: CN hydrolase	443.7182461090597	0.28318167253792426	227	111	0.0013238027668709407
1373	0.9986949434048817	Region: Interaction with TCF3	74.14243962467313	0.32698714382787775	255	145	0.0013050565951182591
960	0.9986974325984465	Domain: SMP-LTD	29.34960617000328	0.29895238735341945	241	134	0.0013025674015535449
380	0.9987093284258689	Domain: CN hydrolase	164.50917702782712	0.3548993058500127	278	167	0.001290671574131097
3706	0.9987231200100303	Domain: SMP-LTD	105.9157533966339	0.32759855148804656	253	147	0.0012768799899697258
1829	0.9987741477163754	Domain: CN hydrolase	211.8835538605579	0.3462959625078049	265	163	0.0012258522836245955
772	0.9988001907261395	Region: Interaction with TCF3	387.5901507185419	0.320191812405892	248	137	0.0011998092738605415
454	0.9988209104630988	Region: Interaction with TCF3	152.69599178912475	0.325764330996694	259	139	0.0011790895369011567
7586	0.9988382657153634	Domain: CN hydrolase	435.0848475004135	0.32814673637105596	254	152	0.0011617342846366174
1618	0.9988699780618218	Domain: CN hydrolase	124.39902329206494	0.316331020609362	253	129	0.0011300219381782384
2181	0.9988808576485688	Region: Interaction with TCF3	528.8489083441906	0.31536088317633004	246	135	0.0011191423514311793
6065	0.9988942989820059	Region: Interaction with TCF3	106.59416445623341	0.2900556963436173	225	114	0.0011057010179941207
6863	0.9989523384767413	Domain: SMP-LTD	75.28621908127208	0.29639810595393806	244	115	0.0010476615232587472
6496	0.9989643469311864	Domain: CN hydrolase	141.55241935483872	0.3373338325578811	256	161	0.0010356530688135912
3301	0.9989919275523057	Region: Interaction with TCF3	160.14634146341464	0.3427181285182936	263	166	0.001008072447694297
6472	0.9989968947976537	Domain: CN hydrolase	117.64059314179796	0.3279658401710311	257	142	0.001003105202346255
1305	0.9989996769943826	Region: Interaction with TCF3	205.0925313945803	0.32987623286932094	259	148	0.001000323005617365
1324	0.9990064558690008	Domain: SMP-LTD	463.2800485240357	0.3237862165288508	261	141	0.0009935441309991688
3233	0.9990097230903228	Region: Interaction with TCF3	128.544776119403	0.29809273715927315	238	123	0.0009902769096772346
3016	0.9990257415492396	Domain: CN hydrolase	544.4172425237726	0.3230762510433458	256	143	0.0009742584507603791
1713	0.9990257415492396	Domain: CN hydrolase	142.73170731707316	0.3138858376990698	253	140	0.0009742584507603791
6378	0.9990261273872508	Domain: CN hydrolase	74.17763157894737	0.2714974983582762	215	94	0.0009738726127491715
5958	0.9990440250269627	Region: Interaction with TCF3	170.69552418143587	0.2864823603399115	230	107	0.0009559749730373435
5160	0.9990496304324056	Region: Interaction with TCF3	1272.1016970515418	0.3427323674301862	263	158	0.0009503695675944224
2230	0.9990580357934604	Region: Interaction with TCF3	60.338345864661655	0.32701404595929395	256	148	0.0009419642065395806
1233	0.9990728039047263	Region: Interaction with TCF3	119.36468812877264	0.35817790876004824	270	177	0.0009271960952736968
7841	0.9990735647969294	Region: Interaction with TCF3	43.74067796610169	0.3286266770417971	255	153	0.0009264352030705636
6286	0.9990782507130923	Region: Interaction with TCF3	34.32194327035698	0.3392621808047584	253	164	0.0009217492869076915
5438	0.9990860525370104	Region: Interaction with TCF3	503.53814419599297	0.3406526626017135	267	157	0.0009139474629895616
5278	0.9990867640902591	Region: Interaction with TCF3	147.35503793555753	0.3332914671835996	263	151	0.000913235909740906
7304	0.9991006554338924	Region: Interaction with TCF3	126.41737426518615	0.3325725473921793	260	151	0.0008993445661076294
6389	0.9991113249881053	Region: Interaction with TCF3	231.68294270833334	0.34004384526853926	263	164	0.0008886750118947129
5896	0.999117792243748	Domain: CN hydrolase	66.18967337315554	0.32471834737606337	248	145	0.0008822077562520292
342	0.9991472112766892	Domain: CN hydrolase	68.8580927384077	0.34424311984544453	267	167	0.0008527887233108489
448	0.9991512112488565	Region: Interaction with TCF3	159.99413244964185	0.35189750498894934	277	170	0.00084878875114347
7476	0.999199769029386	Region: Interaction with TCF3	40.800614317259715	0.3234011845998574	253	150	0.000800230970613991
6764	0.9992063927888656	Domain: SMP-LTD	106.04884856943475	0.31991378718159197	249	141	0.0007936072111344172
2397	0.9992068360983448	Domain: CN hydrolase	165.78291989481443	0.2950882697393665	229	120	0.0007931639016551806
